ID,x,y,z,cell_type,zone
0,10.0,121.2435565298214,0,hepatocyte,3
1,10.0,155.88457268119893,0,hepatocyte,3
2,10.0,190.5255888325765,0,hepatocyte,3
3,30.0,86.60254037844385,0,hepatocyte,3
4,20.0,103.92304845413264,0,hepatocyte,3
5,30.0,121.2435565298214,0,hepatocyte,3
6,20.0,138.56406460551017,0,hepatocyte,3
7,30.0,155.88457268119893,0,hepatocyte,3
8,20.0,173.2050807568877,0,hepatocyte,3
9,30.0,190.5255888325765,0,hepatocyte,3
10,20.0,207.84609690826528,0,hepatocyte,3
11,30.0,225.166604983954,0,hepatocyte,3
12,50.0,51.96152422706632,0,hepatocyte,3
13,40.0,69.28203230275508,0,hepatocyte,3
14,50.0,86.60254037844385,0,hepatocyte,3
15,40.0,103.92304845413264,0,hepatocyte,3
16,50.0,121.2435565298214,0,hepatocyte,3
17,40.0,138.56406460551017,0,hepatocyte,3
18,50.0,155.88457268119893,0,hepatocyte,3
19,40.0,173.2050807568877,0,hepatocyte,3
20,50.0,190.5255888325765,0,hepatocyte,3
21,40.0,207.84609690826528,0,hepatocyte,3
22,50.0,225.166604983954,0,hepatocyte,3
23,40.0,242.4871130596428,0,hepatocyte,3
24,50.0,259.80762113533154,0,hepatocyte,3
25,60.0,34.64101615137754,0,hepatocyte,3
26,70.0,51.96152422706632,0,hepatocyte,3
27,60.0,69.28203230275508,0,hepatocyte,3
28,70.0,86.60254037844385,0,hepatocyte,3
29,60.0,103.92304845413264,0,hepatocyte,3
30,70.0,121.2435565298214,0,hepatocyte,2
31,60.0,138.56406460551017,0,hepatocyte,2
32,70.0,155.88457268119893,0,hepatocyte,2
33,60.0,173.2050807568877,0,hepatocyte,2
34,70.0,190.5255888325765,0,hepatocyte,2
35,60.0,207.84609690826528,0,hepatocyte,3
36,70.0,225.166604983954,0,hepatocyte,3
37,60.0,242.4871130596428,0,hepatocyte,3
38,70.0,259.80762113533154,0,hepatocyte,3
39,90.0,17.32050807568877,0,hepatocyte,3
40,80.0,34.64101615137754,0,hepatocyte,3
41,90.0,51.96152422706632,0,hepatocyte,3
42,80.0,69.28203230275508,0,hepatocyte,3
43,90.0,86.60254037844385,0,hepatocyte,2
44,80.0,103.92304845413264,0,hepatocyte,2
45,90.0,121.2435565298214,0,hepatocyte,2
46,80.0,138.56406460551017,0,hepatocyte,2
47,90.0,155.88457268119893,0,hepatocyte,2
48,80.0,173.2050807568877,0,hepatocyte,2
49,90.0,190.5255888325765,0,hepatocyte,2
50,80.0,207.84609690826528,0,hepatocyte,2
51,90.0,225.166604983954,0,hepatocyte,2
52,80.0,242.4871130596428,0,hepatocyte,3
53,90.0,259.80762113533154,0,hepatocyte,3
54,80.0,277.12812921102034,0,hepatocyte,3
55,110.0,17.32050807568877,0,hepatocyte,3
56,100.0,34.64101615137754,0,hepatocyte,3
57,110.0,51.96152422706632,0,hepatocyte,3
58,100.0,69.28203230275508,0,hepatocyte,2
