x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-35.25,-386.6803427897518,0.0,zone_1,,,,
-11.75,-386.6803427897518,0.0,zone_1,,,,
11.75,-386.6803427897518,0.0,zone_1,,,,
35.25,-386.6803427897518,0.0,zone_1,,,,
-117.5,-366.32874580081756,0.0,zone_1,,,,
-94.0,-366.32874580081756,0.0,zone_1,,,,
-70.5,-366.32874580081756,0.0,zone_1,,,,
-47.0,-366.32874580081756,0.0,zone_1,,,,
-23.5,-366.32874580081756,0.0,zone_1,,,,
0.0,-366.32874580081756,0.0,zone_1,,,,
23.5,-366.32874580081756,0.0,zone_1,,,,
47.0,-366.32874580081756,0.0,zone_1,,,,
70.5,-366.32874580081756,0.0,zone_1,,,,
94.0,-366.32874580081756,0.0,zone_1,,,,
117.5,-366.32874580081756,0.0,zone_1,,,,
-176.25,-345.97714881188324,0.0,zone_1,,,,
-152.75,-345.97714881188324,0.0,zone_1,,,,
-129.25,-345.97714881188324,0.0,zone_1,,,,
-105.75,-345.97714881188324,0.0,zone_1,,,,
-82.25,-345.97714881188324,0.0,zone_1,,,,
-58.75,-345.97714881188324,0.0,zone_1,,,,
-35.25,-345.97714881188324,0.0,zone_1,,,,
-11.75,-345.97714881188324,0.0,zone_1,,,,
11.75,-345.97714881188324,0.0,zone_1,,,,
35.25,-345.97714881188324,0.0,zone_1,,,,
58.75,-345.97714881188324,0.0,zone_1,,,,
82.25,-345.97714881188324,0.0,zone_1,,,,
105.75,-345.97714881188324,0.0,zone_1,,,,
129.25,-345.97714881188324,0.0,zone_1,,,,
152.75,-345.97714881188324,0.0,zone_1,,,,
176.25,-345.97714881188324,0.0,zone_1,,,,
-211.5,-325.6255518229489,0.0,zone_1,,,,
-188.0,-325.6255518229489,0.0,zone_1,,,,
-164.5,-325.6255518229489,0.0,zone_1,,,,
-141.0,-325.6255518229489,0.0,zone_1,,,,
-117.5,-325.6255518229489,0.0,zone_1,,,,
-94.0,-325.6255518229489,0.0,zone_1,,,,
-70.5,-325.6255518229489,0.0,zone_1,,,,
-47.0,-325.6255518229489,0.0,zone_1,,,,
-23.5,-325.6255518229489,0.0,zone_1,,,,
0.0,-325.6255518229489,0.0,zone_1,,,,
23.5,-325.6255518229489,0.0,zone_1,,,,
47.0,-325.6255518229489,0.0,zone_1,,,,
70.5,-325.6255518229489,0.0,zone_1,,,,
94.0,-325.6255518229489,0.0,zone_1,,,,
117.5,-325.6255518229489,0.0,zone_1,,,,
141.0,-325.6255518229489,0.0,zone_1,,,,
164.5,-325.6255518229489,0.0,zone_1,,,,
188.0,-325.6255518229489,0.0,zone_1,,,,
211.5,-325.6255518229489,0.0,zone_1,,,,
-223.25,-305.2739548340146,0.0,zone_1,,,,
-199.75,-305.2739548340146,0.0,zone_1,,,,
-176.25,-305.2739548340146,0.0,zone_1,,,,
-152.75,-305.2739548340146,0.0,zone_1,,,,
-129.25,-305.2739548340146,0.0,zone_1,,,,
-105.75,-305.2739548340146,0.0,zone_1,,,,
-82.25,-305.2739548340146,0.0,zone_1,,,,
-58.75,-305.2739548340146,0.0,zone_1,,,,
-35.25,-305.2739548340146,0.0,zone_1,,,,
-11.75,-305.2739548340146,0.0,zone_1,,,,
11.75,-305.2739548340146,0.0,zone_1,,,,
35.25,-305.2739548340146,0.0,zone_1,,,,
58.75,-305.2739548340146,0.0,zone_1,,,,
82.25,-305.2739548340146,0.0,zone_1,,,,
105.75,-305.2739548340146,0.0,zone_1,,,,
129.25,-305.2739548340146,0.0,zone_1,,,,
152.75,-305.2739548340146,0.0,zone_1,,,,
176.25,-305.2739548340146,0.0,zone_1,,,,
199.75,-305.2739548340146,0.0,zone_1,,,,
223.25,-305.2739548340146,0.0,zone_1,,,,
-258.5,-284.9223578450803,0.0,zone_1,,,,
-235.0,-284.9223578450803,0.0,zone_1,,,,
-211.5,-284.9223578450803,0.0,zone_1,,,,
-188.0,-284.9223578450803,0.0,zone_1,,,,
-164.5,-284.9223578450803,0.0,zone_1,,,,
-141.0,-284.9223578450803,0.0,zone_1,,,,
-117.5,-284.9223578450803,0.0,zone_1,,,,
-94.0,-284.9223578450803,0.0,zone_1,,,,
-70.5,-284.9223578450803,0.0,zone_1,,,,
