x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-28.0,-387.9793808954285,0.0,zone_1,,,,
0.0,-387.9793808954285,0.0,zone_1,,,,
28.0,-387.9793808954285,0.0,zone_1,,,,
-126.0,-363.73066958946424,0.0,zone_1,,,,
-98.0,-363.73066958946424,0.0,zone_1,,,,
-70.0,-363.73066958946424,0.0,zone_1,,,,
-42.0,-363.73066958946424,0.0,zone_1,,,,
-14.0,-363.73066958946424,0.0,zone_1,,,,
14.0,-363.73066958946424,0.0,zone_1,,,,
42.0,-363.73066958946424,0.0,zone_1,,,,
70.0,-363.73066958946424,0.0,zone_1,,,,
98.0,-363.73066958946424,0.0,zone_1,,,,
126.0,-363.73066958946424,0.0,zone_1,,,,
-168.0,-339.4819582834999,0.0,zone_1,,,,
-140.0,-339.4819582834999,0.0,zone_1,,,,
-112.0,-339.4819582834999,0.0,zone_1,,,,
-84.0,-339.4819582834999,0.0,zone_1,,,,
-56.0,-339.4819582834999,0.0,zone_1,,,,
-28.0,-339.4819582834999,0.0,zone_1,,,,
0.0,-339.4819582834999,0.0,zone_1,,,,
28.0,-339.4819582834999,0.0,zone_1,,,,
56.0,-339.4819582834999,0.0,zone_1,,,,
84.0,-339.4819582834999,0.0,zone_1,,,,
112.0,-339.4819582834999,0.0,zone_1,,,,
140.0,-339.4819582834999,0.0,zone_1,,,,
168.0,-339.4819582834999,0.0,zone_1,,,,
-210.0,-315.23324697753566,0.0,zone_1,,,,
-182.0,-315.23324697753566,0.0,zone_1,,,,
-154.0,-315.23324697753566,0.0,zone_1,,,,
-126.0,-315.23324697753566,0.0,zone_1,,,,
-98.0,-315.23324697753566,0.0,zone_1,,,,
-70.0,-315.23324697753566,0.0,zone_1,,,,
-42.0,-315.23324697753566,0.0,zone_1,,,,
-14.0,-315.23324697753566,0.0,zone_1,,,,
14.0,-315.23324697753566,0.0,zone_1,,,,
42.0,-315.23324697753566,0.0,zone_1,,,,
70.0,-315.23324697753566,0.0,zone_1,,,,
98.0,-315.23324697753566,0.0,zone_1,,,,
126.0,-315.23324697753566,0.0,zone_1,,,,
154.0,-315.23324697753566,0.0,zone_1,,,,
182.0,-315.23324697753566,0.0,zone_1,,,,
210.0,-315.23324697753566,0.0,zone_1,,,,
-252.0,-290.9845356715714,0.0,zone_1,,,,
-224.0,-290.9845356715714,0.0,zone_1,,,,
-196.0,-290.9845356715714,0.0,zone_1,,,,
-168.0,-290.9845356715714,0.0,zone_1,,,,
-140.0,-290.9845356715714,0.0,zone_1,,,,
-112.0,-290.9845356715714,0.0,zone_1,,,,
